period_nm,fill,gap_nm,remaining_air_gap_nm,kx_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,score
540.0,0.68,172.79999999999998,140.79999999999998,0.0,1,312.9907921683244,0.2655640144792855,957.8315576733439,589.294435810576,84.46511892212189
540.0,0.68,172.79999999999998,140.79999999999998,0.0,2,312.9907932713507,0.26560068091776023,957.8315542978024,589.2130852033926,84.46572187160288
540.0,0.68,172.79999999999998,140.79999999999998,0.0,3,313.4073769619955,1.0077143648413989,956.5583966338914,155.50407332504471,91.52418567045937
540.0,0.68,172.79999999999998,140.79999999999998,0.0,4,313.407430136104,1.0078523624017675,956.5582343399091,155.48280771463237,91.52494191472287
540.0,0.68,172.79999999999998,140.79999999999998,0.0,5,314.0905015746939,2.3907029490354583,954.4779498169776,65.68998915181315,97.34705828154809
540.0,0.68,172.79999999999998,140.79999999999998,0.0,6,314.090676464526,2.3908701395771157,954.4774183510638,65.68543210801083,97.34789103654002
540.0,0.68,172.79999999999998,140.79999999999998,0.0,7,315.06936170843267,4.02978576496345,951.5125697224408,39.09256969040019,102.5664880870047
540.0,0.68,172.79999999999998,140.79999999999998,0.0,8,315.06982556244293,4.029719774538989,951.5111688808323,39.09326742186282,102.5678114156172
540.0,0.7,162.00000000000003,130.00000000000003,0.0,1,312.99079217050473,0.26556397037681767,957.8315576666714,589.2945336793834,84.46511820752711
540.0,0.7,162.00000000000003,130.00000000000003,0.0,2,312.9907932732692,0.2656006591330198,957.8315542919313,589.2131335346484,84.46572152123622
540.0,0.7,162.00000000000003,130.00000000000003,0.0,3,313.40737702432267,1.0077154898628629,956.558396443661,155.50389975000454,91.52419070832649
540.0,0.7,162.00000000000003,130.00000000000003,0.0,4,313.40743005954386,1.0078525041546902,956.5582345735797,155.48278580823,91.52494229294173
540.0,0.7,162.00000000000003,130.00000000000003,0.0,5,314.09050151949845,2.3907025516813074,954.477949984709,65.69000005847826,97.34705739274729
540.0,0.7,162.00000000000003,130.00000000000003,0.0,6,314.0906765439377,2.3908699594516154,954.4774181097429,65.68543707328597,97.34789094957023
540.0,0.7,162.00000000000003,130.00000000000003,0.0,7,315.06936269585356,4.029790758842683,951.5125667404202,39.09252136782636,102.56649643737035
540.0,0.7,162.00000000000003,130.00000000000003,0.0,8,315.35211757170526,8.972049357310039e-10,950.6594098954567,175741408129.21964,29.340590104543253
540.0,0.72,151.20000000000002,119.20000000000002,0.0,1,312.99079216502383,0.26556406688357065,957.8315576834447,589.2943195177195,84.46511976906896
540.0,0.72,151.20000000000002,119.20000000000002,0.0,2,312.9907932681056,0.26560073418059216,957.8315543077331,589.2129670381316,84.4657227326394
540.0,0.72,151.20000000000002,119.20000000000002,0.0,3,313.15733173936786,7.745379126464159e-10,957.3221751982129,202157522973.52502,22.677824801787096
540.0,0.72,151.20000000000002,119.20000000000002,0.0,4,313.4073769903037,1.0077131002263318,956.5583965474914,155.5042684866916,91.52418030635442
